date,id,evap,relHum,solarRad,tempMax,tempMin,winSpeed
1/1/1980,1,2.3524212288531,78.5,10.7745142619028,27.8,20.5,0
2/1/1980,1,2.21278972507722,82,10.6113299229013,24.3,17.9,0
3/1/1980,1,4.76450889854045,63.75,23.073547203378,29.4,16.6,0.99999975
4/1/1980,1,3.79605656985871,69,18.7547485791362,29.6,19.2,0.24999975
5/1/1980,1,4.71158791316591,71.25,24.1852040416796,28.5,17.3,0.75
6/1/1980,1,5.45842851730526,68.25,30.414993526011,29.4,15.6,0.24999975
7/1/1980,1,4.98701790174472,74.5,24.6557272058289,29.8,17.2,1.25000025
8/1/1980,1,2.8905316012477,74,11.3820671444557,28.9,19.2,0.99999975
9/1/1980,1,3.74584300566689,74.25,18.4099412629601,29.9,18.9,0.24999975
10/1/1980,1,2.63414877202178,73.25,11.5292055527006,30,20.2,0.24999975
11/1/1980,1,2.31259520617345,87.5,10.5629950417605,26.1,20,0.24999975
12/1/1980,1,2.23562474423656,85.25,10.5555596429183,24.2,19.6,0
13/1/1980,1,2.20615581930083,86.5,10.5476932104659,23.4,18.9,0
14/1/1980,1,2.92840300291686,75,13.8964232532295,28.7,17.8,0.24999975
15/1/1980,1,2.74378030920794,82.75,12.28901031258,26.8,20.6,0.75
16/1/1980,1,NaN,NaN,NaN,0,NaN,NaN
17/1/1980,1,2.19740269023826,87.5,10.51180835841,23.9,18.3,0
18/1/1980,1,2.49572443230404,83,10.6615181161539,27.8,19.6,0.75
19/1/1980,1,3.58295959759856,81.25,17.2025518172572,31.3,20.6,0
20/1/1980,1,3.88092421592048,81.5,17.829714696285,31.9,21.6,0.50000025
21/1/1980,1,3.52525681137493,86.25,16.8585686640108,31,20.2,0
22/1/1980,1,3.94465136734495,80.75,18.2829414043461,31.3,20,0.75
23/1/1980,1,3.22697335179901,81.75,14.5960330844071,29.9,19.2,0.75
24/1/1980,1,3.49182812476481,82,16.3383242335081,31.7,20.1,0.24999975
25/1/1980,1,3.094900104936,84,13.6099297855087,29.7,20.5,0.99999975
26/1/1980,1,3.15862844735729,79.25,14.3929215050928,31.5,20.8,0.24999975
27/1/1980,1,3.91737128203683,83,19.0033731522914,30.4,21.6,0
28/1/1980,1,4.48030612612281,78.25,20.4207353410665,31.8,21.9,0.99999975
29/1/1980,1,3.41598315724946,81,14.6627326335209,28.6,20.6,1.74999975
30/1/1980,1,3.94144379374863,80.25,18.7880709291924,29.3,17.4,1.25000025
31/1/1980,1,3.66726445927935,76,18.6086044888328,30.2,18.7,0
01/02/1980,1,4.48641763212644,78.75,20.9758081337918,31.6,20.1,0.99999975
02/02/1980,1,2.28189776192472,81.75,10.2911200514031,28.6,21.2,0
03/02/1980,1,5.3885744513755,75.5,26.3365789896155,32,20.7,0.75
04/02/1980,1,6.02318393632294,64.75,29.3288756539595,31.3,19.9,1.25000025
05/02/1980,1,5.5505194831987,72.25,28.1859850819203,31.6,18.4,0.75
06/02/1980,1,5.37083423698272,71.5,27.9957670543923,32.9,17.5,0.24999975
07/02/1980,1,5.84496195909983,69.75,28.5977258939294,33.8,19.3,0.75
08/02/1980,1,5.88518301056651,72,28.0877194191299,33.5,20.6,0.99999975
09/02/1980,1,4.61700816034348,71.25,21.8742476244087,31.3,20.9,0.75
10/02/1980,1,3.34815303658232,70,14.0866324749199,31.1,20.4,0.75
11/02/1980,1,4.46108058086811,76.5,21.0189651628895,30.7,18.6,1.25000025
12/02/1980,1,5.81192412600145,71,26.8319173020282,34.9,17.9,1.25000025
13/02/1980,1,NaN,NaN,NaN,0,NaN,NaN
14/02/1980,1,3.4019335153049,77.5,14.2927642425999,27.2,19.5,2.00000025
15/02/1980,1,3.1458798063106,77,15.0508401330799,28.2,18.5,0.50000025
16/02/1980,1,2.29698199786598,79.5,9.9841449273854,29.6,19.9,0.24999975
17/02/1980,1,2.85235236667283,81,14.2016264415183,28.2,18.6,0
18/02/1980,1,2.46076217179826,76,10.0879586374874,27.3,19.6,0.75
19/02/1980,1,3.60702103046741,78,17.8998166018367,27.9,20,0.50000025
20/02/1980,1,4.02549815105252,73,19.4271311374896,31.3,19.6,0.50000025
21/02/1980,1,4.07031110190641,76.25,18.6035863255828,31.6,19.5,0.99999975
22/02/1980,1,3.39458929325784,78.25,14.3458749865695,30.3,21.3,1.25000025
23/02/1980,1,4.2419071391745,77,19.7665203043265,32.4,20.6,0.75
24/02/1980,1,4.2356317752728,78.25,22.0559995085356,30.6,19.2,0
25/02/1980,1,4.18434579991061,78,19.8293863109588,31.4,20.9,0.75
26/02/1980,1,4.44878097508324,77.25,21.1777240082077,31.6,19.6,0.99999975
27/02/1980,1,4.98928697482328,74,22.8299649209391,32.7,21.6,1.25000025
28/02/1980,1,4.9698764108112,75.5,24.3203202556914,32.4,20.3,0.75
29/02/1980,1,5.38043873626799,74,27.1928827177041,32.3,20.9,0.50000025
01/03/1980,1,4.3869131472414,79,21.4255060517493,31.8,19.3,0.75
02/03/1980,1,4.15654907943688,75,20.9066818265908,31.2,20.6,0.24999975
03/03/1980,1,4.3309233143237,73.5,22.0764494563767,31.9,19.6,0.24999975
04/03/1980,1,4.08931099161062,71.75,19.7178581694715,31.8,17.1,0.75
05/03/1980,1,4.47499147068026,75.75,22.2576156038396,30.3,18.9,0.99999975
06/03/1980,1,4.98047042900223,74,25.3947065852844,31.8,18.5,0.75
07/03/1980,1,5.0718881341367,73.25,25.6256737897675,31.7,18,0.99999975
08/03/1980,1,5.1134599180948,71.25,26.6126504532908,33.2,17.5,0.50000025
