ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,RioCodigo,Rio Nome,MunicipioCodigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude (m),Area Drenagem (km2),Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
55744000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55320000,Rio Itaúnas,18040400,Pedro Canário,Cristal,Fluviométrica,-18.0908333333333,-40.1141666666667,75,1280,2001,2010,6
55746000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55320000,Rio Itaúnas,18040400,Pedro Canário,Pedro Canário (Estância Pico),Fluviométrica,-18.2647,-40.0336,21,1670,2001,2018,11
55747000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55325000,Rio Preto Ou Itauninha,18016000,Conceição Da Barra,Itauninhas  (Br-101),Fluviométrica,-18.4122,-39.9364,30,597,2001,2018,24
55795000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55456000,Rio Dois De Setembro,18021000,Ecoporanga,Fazenda Cachoeira Bonita,Fluviométrica,-18.3239,-40.7797,163,132,2001,2010,5
55800005,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55420000,Rio São Mateus / Braço Norte,18021000,Ecoporanga,Fazenda São Mateus,Fluviométrica,-18.1231,-40.8831,190,4170,1963,2019,7
55850000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55420000,Rio São Mateus / Braço Norte,18049000,São Mateus,São João Da Cachoeira Grande,Fluviométrica,-18.5639,-40.3361,38,6930,1963,2019,5
55895000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55460000,Rio São Mateus / Braço Sul,18009000,Barra De São Francisco,Barra Do Rio Preto,Fluviométrica,-18.6936,-40.8819,162,2500,1963,2014,9
55900000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55460100,Rio São Francisco,18009000,Barra De São Francisco,Barra De São Francisco,Fluviométrica,-18.7556,-40.915,192,214,1968,2019,0
55920000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55460000,Rio São Mateus / Braço Sul,18039000,Nova Venécia,Córrego Da Boa Esperança,Fluviométrica,-18.7006,-40.4419,62,4190,1963,2019,3
55960000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55400000,Rio São Mateus,18049000,São Mateus,Boca Da Vala,Fluviométrica,-18.6511,-40.0889,12.5,12000,1974,2019,1
55970000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",55400000,Rio São Mateus,18049000,São Mateus,Fazenda Piaunas,Fluviométrica,-18.645,-40.0017,60,12100,1952,1974,5
