ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,Municipio Codigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude,Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
1839000,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Morro D'Anta (Pedro Canário),Pluviomêtrica,-18.2994,-39.9586,66,1951,2019,7
1839001,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Conceição Da Barra,Pluviomêtrica,-18.5622,-39.7472,3,1930,2019,0
1839002,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Fazenda Viração,Pluviomêtrica,-18.4167,-39.7167,10,1958,1982,1
1839004,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18040400,Pedro Canário,Fazenda Klabin,Pluviomêtrica,-18.2333,-39.9,40,1960,1983,0
1839006,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,Barra Nova,Pluviomêtrica,-18.9503,-39.7644,6,1971,2019,1
1839007,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Fazenda Cia Paulista (Dnos),Pluviomêtrica,-18.2,-39.9167,20,1959,1968,3
1839008,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,São Mateus,Pluviomêtrica,-18.7167,-39.8667,30,1947,1967,3
1839013,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Conceição Da Barra,Pluviomêtrica,-18.5833,-39.7333,6,1930,1968,0
1839015,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,São Mateus,Pluviomêtrica,-18.1167,-39.85,25,1970,2000,15
1839020,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18016000,Conceição Da Barra,Conceição Da Barra,Pluviomêtrica,-18.5667,-39.7333,,1999,2000,41
1840000,5,"Atlântico,Trecho Leste",56,Rio Doce,18001400,Águia Branca,Águia Branca,Pluviomêtrica,-18.9856,-40.7461,180,1969,2019,0
1840001,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,Barra Seca,Pluviomêtrica,-18.9833,-40.1333,70,1947,1977,3
1840002,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18010000,Boa Esperança,Fazenda Alegria,Pluviomêtrica,-18.5167,-40.3167,180,1947,1990,0
1840003,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,Itauninhas,Pluviomêtrica,-18.4894,-40.0906,90,1947,2019,5
1840004,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18009000,Barra De São Francisco,Barra De São Francisco,Pluviomêtrica,-18.7619,-40.89,192,1947,2019,0
1840005,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18039000,Nova Venécia,Nova Venécia,Pluviomêtrica,-18.7167,-40.4167,80,1947,1976,2
1840006,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18036000,Mucurici,Mucurici,Pluviomêtrica,-18.0833,-40.5833,290,1969,1994,1
1840007,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18001200,Alegre,Água Doce,Pluviomêtrica,-18.5481,-40.9764,280,1959,2019,0
1840008,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18032000,Mantenópolis,Ponte Nova (Br-101),Pluviomêtrica,-18.9817,-39.9933,60,1972,2018,4
1840009,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Fazenda São Mateus,Pluviomêtrica,-18.1222,-40.8858,190,1966,2019,13
1840010,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18039000,Nova Venécia,Cedrolândia,Pluviomêtrica,-18.8097,-40.6906,300,1970,2019,0
